Timestamp,Sur quelle image voit-on mieux les couleurs du fond marin?,Sur quelle image voit-on mieux les couleurs du fond marin?,Sur quelle image voit-on mieux les couleurs du fond marin?,Sur quelle image voit-on mieux les couleurs du fond marin?,Sur quelle image voit-on mieux les couleurs du fond marin?,Sur quelle image voit-on mieux les couleurs du fond marin?,Sur quelle image voit-on mieux les couleurs du fond marin?,Quelle image a le meilleur contraste? ,Quelle image a le meilleur contraste? ,Quelle image a le meilleur contraste? ,Quelle image a le meilleur contraste? ,Quelle image a le meilleur contraste? ,Quelle image a le meilleur contraste? ,Quelle image a le meilleur contraste? ,Quelle image est la plus réaliste? ,Quelle image est la plus réaliste? ,Quelle image est la plus réaliste? ,Quelle image est la plus réaliste? ,Quelle image est la plus réaliste? ,Quelle image est la plus réaliste? ,Quelle image est la plus réaliste? 
03/02/2021 18:54:38,A,A,B,A,B,A,A,A,A,A,A,B,A,A,A,B,B,B,B,A,A
03/02/2021 20:27:34,B,B,B,A,A,A,A,B,B,B,B,B,B,B,A,B,B,A,B,A,A
03/02/2021 20:59:01,B,A,B,A,A,A,B,B,A,B,B,B,A,A,A,A,B,B,B,A,B
03/02/2021 21:15:24,B,B,A,B,A,A,B,A,A,A,A,B,A,A,B,A,A,B,B,A,A
04/02/2021 10:16:50,A,A,B,A,B,A,A,A,A,B,A,B,A,A,A,B,B,A,B,B,B
04/02/2021 10:18:48,A,A,B,A,B,B,A,A,A,A,B,A,A,A,A,A,B,B,B,A,A
04/02/2021 10:25:31,A,A,B,A,B,A,A,B,B,B,B,B,A,A,A,B,B,B,B,A,A
04/02/2021 10:25:40,A,A,B,A,B,B,A,A,A,A,B,B,A,A,A,B,B,A,A,B,B
04/02/2021 10:26:35,B,B,A,B,A,A,A,A,A,A,A,B,A,A,A,B,B,B,B,A,B
04/02/2021 10:33:06,A,A,B,B,A,A,B,B,A,B,B,A,A,B,B,A,A,A,B,A,B
04/02/2021 10:47:59,A,A,B,B,A,A,B,A,A,A,A,B,A,A,B,A,A,B,B,A,A
04/02/2021 10:57:52,B,A,B,B,B,A,B,A,A,A,B,B,A,B,A,B,B,A,B,B,B
04/02/2021 10:59:55,A,A,B,A,B,A,A,A,A,A,B,B,A,A,A,B,B,B,B,A,A
04/02/2021 12:38:03,A,A,B,A,A,A,A,B,B,A,B,B,B,A,A,A,B,B,B,A,A
04/02/2021 13:38:13,B,B,A,B,A,A,B,A,A,A,B,B,A,A,A,B,B,A,A,A,A
04/02/2021 14:56:48,A,A,B,A,B,B,A,B,B,B,A,B,A,B,A,B,B,A,B,B,A
04/02/2021 17:58:21,A,A,B,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,B,B
04/02/2021 19:58:12,B,B,A,B,A,A,B,A,A,A,A,B,A,A,B,A,A,B,B,A,A
04/02/2021 21:33:12,A,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,B,B,A,A,A
04/02/2021 23:10:23,B,B,A,B,A,A,B,A,A,A,A,B,A,A,A,A,A,B,B,A,A
05/02/2021 07:42:35,A,A,B,A,B,B,A,B,B,B,B,B,A,B,B,A,A,B,B,A,A